IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.210.21.65	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	1747 kB/s
47.245.86.230	2087	TRUE	SIN	Asia Pacific	Singapore	236 ms	1392 kB/s
8.217.90.154	443	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	1311 kB/s
47.242.79.71	2087	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	1219 kB/s
8.217.248.220	2096	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	1215 kB/s
47.243.206.150	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	1215 kB/s
47.243.203.119	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	1142 kB/s
8.219.106.156	2096	TRUE	SIN	Asia Pacific	Singapore	238 ms	1142 kB/s
47.245.84.124	2096	TRUE	SIN	Asia Pacific	Singapore	230 ms	1033 kB/s
47.243.74.220	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	864 kB/s
8.210.175.109	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	774 kB/s
8.218.63.172	443	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	705 kB/s
47.243.203.119	2053	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	687 kB/s
8.219.60.54	2053	TRUE	SIN	Asia Pacific	Singapore	213 ms	492 kB/s
149.129.8.215	443	TRUE	SJC	North America	San Jose	96 ms	432 kB/s
8.219.200.145	2087	TRUE	SIN	Asia Pacific	Singapore	233 ms	355 kB/s
8.219.126.240	2096	TRUE	SIN	Asia Pacific	Singapore	224 ms	192 kB/s
8.218.122.55	8443	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	192 kB/s
8.218.122.55	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	112 kB/s
8.219.126.240	2087	TRUE	SIN	Asia Pacific	Singapore	221 ms	96 kB/s
47.236.237.90	8443	TRUE	SIN	Asia Pacific	Singapore	215 ms	23 kB/s
8.219.126.240	2053	TRUE	SIN	Asia Pacific	Singapore	215 ms	19 kB/s
8.210.92.27	443	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	14 kB/s
8.217.248.220	2083	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	0 kB/s
8.222.225.193	443	TRUE	SIN	Asia Pacific	Singapore	230 ms	0 kB/s
47.237.14.220	8443	TRUE	SIN	Asia Pacific	Singapore	215 ms	0 kB/s
8.218.122.55	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	0 kB/s
47.236.83.239	2087	TRUE	SIN	Asia Pacific	Singapore	222 ms	0 kB/s
8.222.193.65	8443	TRUE	SIN	Asia Pacific	Singapore	225 ms	0 kB/s
8.218.122.55	2087	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	0 kB/s
8.217.121.207	8443	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	0 kB/s
47.236.83.239	2083	TRUE	SIN	Asia Pacific	Singapore	226 ms	0 kB/s
47.236.202.91	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	0 kB/s
8.219.42.72	2053	TRUE	SIN	Asia Pacific	Singapore	240 ms	0 kB/s
47.237.95.140	2087	TRUE	SIN	Asia Pacific	Singapore	238 ms	0 kB/s
47.237.83.20	2096	TRUE	SIN	Asia Pacific	Singapore	217 ms	0 kB/s
47.243.27.217	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	0 kB/s
8.210.192.93	2087	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	0 kB/s
47.245.102.52	2096	TRUE	SIN	Asia Pacific	Singapore	240 ms	0 kB/s
8.210.203.7	2096	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	0 kB/s
47.243.74.220	2096	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	0 kB/s
